,job,education,housing,loan,y

9283,yes,yes,yes,yes,0

9284,yes,yes,yes,yes,1

9285,yes,yes,no,no,0

9286,yes,no,yes,yes,0

9287,yes,yes,yes,no,0

9288,yes,yes,yes,no,0

9289,yes,no,yes,no,0

9290,yes,no,yes,no,1

9291,no,yes,no,no,0

9292,yes,no,no,no,0

9293,yes,yes,yes,no,0

9294,yes,no,yes,no,0

9295,yes,yes,yes,yes,0

9296,no,no,no,no,0

9297,no,yes,no,no,0

9298,no,yes,yes,yes,0

9299,yes,yes,yes,no,0

9300,yes,no,no,yes,0

9301,yes,no,no,no,0

9302,yes,yes,no,yes,0

9303,yes,yes,no,no,0

9304,yes,yes,yes,yes,0

9305,yes,no,yes,no,0

9306,no,yes,yes,no,0

9307,yes,yes,no,no,0

9308,yes,yes,no,no,0

9309,yes,no,yes,no,0

9310,yes,no,yes,no,0

9311,yes,no,yes,no,0

9312,yes,no,yes,no,0

9313,yes,no,no,no,0

9314,yes,no,yes,no,0

9315,yes,yes,no,no,0

9316,yes,no,no,no,0

9317,no,no,yes,yes,0

9318,yes,yes,yes,no,0

9319,yes,yes,yes,no,0

9320,yes,yes,no,no,0

9321,yes,no,yes,no,0

9322,yes,yes,yes,no,0

9323,yes,no,yes,no,0

9324,yes,yes,yes,no,0

9325,no,yes,no,no,0

9326,yes,yes,no,no,0

9327,yes,no,no,no,0

9328,yes,yes,no,no,0

9329,yes,no,yes,no,1

9330,yes,yes,yes,yes,0

9331,yes,no,no,no,0

9332,yes,yes,no,no,0

9333,yes,no,yes,no,0

9334,yes,yes,yes,no,0

9335,yes,no,yes,no,0

9336,yes,no,yes,no,0

9337,yes,no,no,no,0

9338,no,yes,no,no,0

9339,yes,yes,no,no,0

9340,yes,yes,no,no,0

9341,no,no,yes,no,0

9342,no,yes,yes,no,0

9343,yes,yes,no,no,1

9344,yes,no,yes,no,0

9345,yes,no,yes,no,1

9346,yes,yes,yes,no,0

9347,yes,yes,yes,no,0

9348,yes,yes,yes,no,0

9349,yes,no,yes,no,0

9350,yes,yes,yes,no,0

9351,yes,no,no,no,0

9352,yes,yes,yes,yes,0

9353,yes,no,yes,no,0

9354,yes,yes,yes,no,0

9355,yes,yes,no,no,0

9356,yes,no,no,no,1

9357,yes,no,no,yes,0

9358,yes,no,yes,no,0

9359,yes,no,no,no,0

9360,no,no,yes,no,0

9361,yes,no,yes,no,1

9362,yes,yes,yes,no,0

9363,no,yes,yes,no,0

9364,no,no,no,no,0

9365,yes,no,yes,no,0

9366,no,yes,no,no,0

9367,yes,no,no,no,0

9368,no,yes,yes,no,0

9369,yes,no,no,no,0

9370,no,yes,no,no,0

9371,yes,no,yes,no,0

9372,yes,no,no,no,0

9373,yes,no,no,no,0

9374,no,no,no,no,0

9375,yes,yes,no,no,1

9376,yes,yes,no,no,0

9377,no,yes,yes,no,0

9378,yes,yes,yes,no,0

9379,yes,yes,yes,yes,0

9380,yes,no,yes,no,0

9381,yes,no,no,yes,0

9382,yes,no,yes,no,0

9383,yes,yes,yes,no,0

9384,yes,no,yes,no,0

9385,yes,no,yes,no,0

9386,yes,no,yes,no,0

9387,no,yes,yes,no,0

9388,yes,no,yes,no,0

9389,yes,no,yes,no,0

9390,yes,yes,yes,no,0

9391,yes,yes,yes,no,0

9392,yes,no,yes,no,0

9393,yes,no,no,no,0

9394,yes,no,no,no,0

9395,yes,no,yes,no,0

9396,no,no,no,no,0

9397,no,no,no,no,0

9398,yes,yes,yes,no,0

9399,yes,no,no,no,0

9400,yes,no,no,no,0

9401,no,no,no,no,0

9402,no,yes,yes,no,0

9403,yes,yes,yes,yes,0

9404,yes,no,no,no,0

9405,yes,yes,yes,no,0

9406,yes,yes,yes,no,1

9407,yes,yes,no,no,0

9408,no,no,no,no,0

9409,yes,no,no,no,0

9410,yes,yes,yes,yes,0

9411,yes,yes,yes,yes,0

9412,yes,yes,no,no,0

9413,yes,no,no,no,0

9414,yes,yes,yes,no,0

9415,no,no,no,no,1

9416,yes,yes,no,no,0

9417,yes,yes,yes,no,0

9418,yes,no,no,no,0

9419,yes,no,no,no,0

9420,yes,yes,no,no,0

9421,yes,no,yes,no,0

9422,yes,yes,yes,no,0

9423,yes,no,no,no,0

9424,yes,yes,yes,no,0

9425,yes,no,yes,no,0

9426,no,no,yes,no,0

9427,yes,no,no,yes,0

9428,yes,yes,no,no,0

9429,yes,no,yes,no,0

9430,yes,yes,yes,no,0

9431,no,yes,no,no,0

9432,yes,no,no,no,0

9433,yes,no,yes,no,0

9434,yes,yes,yes,no,0

9435,yes,no,yes,no,0

9436,yes,yes,no,no,0

9437,yes,no,yes,yes,0

9438,yes,yes,yes,yes,1

9439,no,no,no,yes,0

9440,yes,yes,no,no,0

9441,yes,no,no,no,0

9442,no,yes,no,no,0

9443,yes,yes,no,no,0

9444,yes,yes,yes,no,0

9445,yes,yes,no,yes,0

9446,yes,yes,no,yes,0

9447,yes,no,yes,no,1

9448,yes,no,no,no,0

9449,yes,no,no,no,0

9450,yes,no,no,yes,0

9451,yes,yes,yes,no,0

9452,yes,no,no,no,0

9453,yes,no,no,no,0

9454,yes,yes,yes,no,0

9455,no,no,yes,no,0

9456,yes,no,yes,no,0

9457,yes,yes,no,no,0

9458,yes,yes,yes,no,0

9459,yes,no,yes,no,0

9460,yes,yes,yes,no,0

9461,yes,yes,yes,no,0

9462,yes,no,no,no,0

9463,yes,yes,no,no,0

9464,yes,yes,no,no,0

9465,yes,no,yes,no,1

9466,yes,yes,no,no,0

9467,yes,no,yes,no,0

9468,yes,yes,yes,no,0

9469,yes,no,no,no,1

9470,yes,no,yes,no,0

9471,no,yes,no,no,0

9472,no,no,no,no,0

9473,yes,yes,yes,no,0

9474,yes,yes,no,no,0

9475,yes,yes,no,no,0

9476,yes,yes,yes,no,1

9477,yes,no,no,no,0

9478,yes,no,yes,no,0

9479,no,no,yes,no,0

9480,yes,no,no,no,0

9481,yes,yes,no,no,0

9482,yes,no,no,no,0

9483,no,no,no,no,0

9484,no,no,no,no,0

9485,yes,yes,yes,no,1

9486,yes,yes,no,no,0

9487,yes,yes,no,no,0

9488,yes,no,no,no,0

9489,yes,yes,no,no,0

9490,yes,no,yes,yes,0

9491,yes,yes,yes,no,0

9492,yes,yes,yes,no,0

9493,yes,no,yes,no,0

9494,yes,no,no,no,0

9495,yes,no,yes,no,0

9496,yes,yes,no,no,0

9497,no,yes,yes,no,0

9498,yes,yes,no,yes,0

9499,yes,yes,yes,no,0

9500,yes,yes,no,no,0

9501,yes,no,no,no,0

9502,yes,yes,yes,no,0

9503,yes,no,yes,no,0

9504,no,yes,yes,no,0

9505,no,no,yes,no,0

9506,yes,yes,no,no,1

9507,no,yes,no,no,0

9508,yes,no,yes,no,0

9509,yes,no,no,yes,0

9510,yes,no,no,no,0

9511,yes,yes,yes,no,1

9512,yes,no,yes,no,0

9513,yes,no,no,no,0

9514,yes,no,yes,no,0

9515,yes,no,yes,yes,0

9516,yes,yes,yes,no,0

9517,yes,yes,yes,no,0

9518,no,yes,yes,no,0

9519,yes,no,no,no,0

9520,yes,no,yes,no,1

9521,yes,yes,no,no,0

9522,yes,no,yes,no,0

9523,no,yes,no,no,0

9524,yes,no,yes,no,0

9525,yes,yes,yes,no,0

9526,yes,no,no,no,0

9527,yes,yes,yes,no,0

9528,yes,no,yes,no,0

9529,yes,yes,no,yes,0

9530,yes,no,yes,no,0

9531,yes,yes,no,yes,1

9532,yes,no,no,no,0

9533,yes,no,yes,no,0

9534,no,yes,no,no,0

9535,yes,no,no,no,0

9536,no,no,no,yes,1

9537,yes,no,no,yes,0

9538,yes,yes,yes,no,0

9539,yes,yes,no,no,1

9540,yes,yes,no,no,0

9541,no,yes,no,no,0

9542,yes,yes,no,no,0

9543,yes,no,no,no,0

9544,yes,no,no,no,0

9545,yes,no,yes,no,0

9546,yes,no,no,no,0

9547,yes,no,no,yes,0

9548,yes,no,yes,yes,0

9549,yes,no,no,no,0

9550,no,no,no,no,0

9551,yes,yes,yes,no,0

9552,yes,no,yes,no,0

9553,yes,yes,yes,yes,0

9554,yes,yes,no,no,0

9555,yes,yes,yes,no,0

9556,yes,yes,yes,no,0

9557,yes,yes,no,no,1

9558,yes,no,yes,no,0

9559,yes,no,yes,no,0

9560,yes,yes,no,no,0

9561,yes,yes,yes,no,0

9562,no,yes,no,no,0

9563,no,yes,no,yes,0

9564,yes,yes,no,yes,0

9565,yes,no,yes,no,0

9566,yes,no,yes,yes,0

9567,yes,yes,no,no,0

9568,yes,no,no,yes,0

9569,yes,no,no,no,0

9570,yes,no,no,no,0

9571,yes,no,yes,no,0

9572,no,no,no,no,0

9573,yes,no,no,yes,0

9574,yes,no,no,no,0

9575,no,no,yes,no,1

9576,yes,yes,no,no,0

9577,yes,yes,no,no,0

9578,no,yes,no,no,0

9579,yes,no,yes,no,0

9580,yes,yes,no,no,0

9581,no,yes,no,no,0

9582,yes,no,yes,yes,0

9583,yes,no,no,no,0

9584,yes,no,yes,no,0

9585,no,no,no,no,0

9586,yes,no,no,no,0

9587,yes,yes,yes,no,0

9588,yes,no,no,no,0

9589,no,yes,yes,no,0

9590,yes,yes,no,no,0

9591,yes,no,no,no,0

9592,no,no,no,no,0

9593,yes,yes,yes,no,0

9594,yes,yes,yes,no,0

9595,yes,yes,yes,yes,0

9596,yes,no,no,no,0

9597,yes,yes,yes,yes,0

9598,yes,yes,yes,no,0

9599,yes,no,no,no,0

9600,yes,no,no,no,0

9601,yes,no,yes,no,0

9602,yes,yes,no,no,0

9603,yes,no,yes,no,0

9604,yes,no,no,no,0

9605,yes,yes,no,no,0

9606,yes,no,yes,no,0

9607,yes,no,no,yes,0

9608,yes,yes,yes,no,0

9609,yes,no,no,no,0

9610,yes,no,yes,no,0

9611,yes,yes,yes,no,1

9612,yes,yes,yes,yes,0

9613,yes,yes,yes,no,0

9614,yes,no,yes,no,0

9615,yes,no,yes,no,0

9616,no,yes,yes,no,0

9617,yes,yes,no,no,0

9618,yes,yes,no,yes,1

9619,yes,yes,no,no,1

9620,yes,no,no,yes,0

9621,yes,no,yes,no,1

9622,yes,no,yes,no,0

9623,no,yes,yes,yes,0

9624,yes,no,no,no,0

9625,yes,no,yes,no,0

9626,no,no,no,no,0

9627,yes,no,yes,no,0

9628,no,yes,no,no,0

9629,no,yes,no,no,0

9630,yes,yes,yes,no,1

9631,yes,no,yes,no,0

9632,no,yes,no,no,0

9633,yes,no,yes,no,0

9634,yes,no,no,no,0

9635,yes,no,no,no,0

9636,yes,no,no,no,0

9637,yes,no,no,no,0

9638,yes,yes,no,no,0

9639,yes,no,no,no,1

9640,no,yes,no,yes,0

9641,yes,no,yes,no,0

9642,yes,no,yes,no,0

9643,yes,yes,yes,yes,1

9644,yes,yes,yes,no,0

9645,yes,yes,no,no,0

9646,yes,no,no,no,0

9647,yes,yes,yes,no,0

9648,yes,no,no,no,0

9649,yes,yes,yes,no,1

9650,no,yes,no,no,0

9651,yes,no,no,no,0

9652,yes,yes,no,no,1

9653,yes,no,yes,no,0

9654,yes,no,yes,no,0

9655,yes,no,yes,no,0

9656,yes,no,yes,no,0

9657,yes,yes,yes,yes,0

9658,yes,no,yes,no,1

9659,yes,no,no,no,0

9660,no,yes,no,no,0

9661,yes,yes,no,no,0

9662,yes,no,yes,yes,0

9663,yes,yes,yes,yes,0

9664,yes,no,no,no,0

9665,yes,no,yes,no,0

9666,yes,yes,yes,no,0

9667,yes,yes,no,no,0

9668,yes,yes,yes,yes,0

9669,yes,yes,no,no,0

9670,no,no,no,no,0

9671,yes,no,no,no,0

9672,yes,no,no,no,0

9673,yes,no,yes,no,0

9674,yes,yes,yes,yes,1

9675,no,yes,no,no,0

9676,yes,yes,no,no,0

9677,yes,yes,no,no,0

9678,yes,no,no,no,0

9679,no,no,yes,yes,0

9680,yes,yes,yes,yes,0

9681,yes,yes,no,no,0

9682,yes,no,no,yes,0

9683,yes,yes,yes,no,0

9684,yes,yes,yes,no,0

9685,no,yes,no,no,0

9686,yes,no,no,yes,0

9687,yes,yes,yes,no,0

9688,no,no,yes,no,0

9689,yes,no,no,no,1

9690,yes,no,no,no,0

9691,no,yes,yes,no,1

9692,no,yes,no,no,0

9693,yes,no,yes,no,0

9694,no,no,no,no,0

9695,yes,no,yes,no,0

9696,yes,no,yes,no,0

9697,yes,yes,yes,no,0

9698,yes,yes,no,no,0

9699,no,yes,no,no,0

9700,yes,yes,yes,no,0

9701,yes,yes,no,no,0

9702,yes,yes,yes,no,1

9703,yes,yes,no,no,0

9704,no,yes,no,no,1

9705,yes,yes,yes,no,0

9706,yes,no,no,no,0

9707,yes,yes,yes,no,0

9708,yes,yes,no,yes,1

9709,yes,no,yes,no,0

9710,yes,no,no,no,0

9711,yes,no,yes,no,0

9712,no,yes,yes,no,0

9713,yes,yes,no,yes,0

9714,yes,yes,yes,no,1

9715,yes,yes,no,no,0

9716,yes,no,yes,no,0

9717,yes,no,yes,no,0

9718,yes,yes,yes,no,0

9719,yes,no,yes,no,0

9720,yes,no,yes,yes,1

9721,yes,yes,yes,no,0

9722,yes,no,yes,no,0

9723,yes,no,no,no,0

9724,yes,no,yes,no,0

9725,yes,no,no,yes,0

9726,yes,yes,no,yes,0

9727,yes,yes,no,no,0

9728,yes,no,no,yes,0

9729,yes,no,yes,yes,0

9730,yes,no,yes,no,1

9731,yes,yes,yes,yes,0

9732,yes,yes,no,yes,0

9733,yes,no,yes,no,0

9734,yes,no,yes,no,0

9735,no,yes,yes,no,0

9736,no,yes,yes,no,0

9737,yes,no,yes,no,0

9738,yes,no,no,no,0

9739,yes,no,no,no,1

9740,yes,yes,yes,no,0

9741,yes,yes,yes,yes,0

9742,yes,no,no,yes,0

9743,yes,yes,no,no,1

9744,no,yes,no,no,0

9745,yes,no,no,no,0

9746,yes,yes,no,no,0

9747,yes,no,yes,no,0

9748,no,no,yes,no,0

9749,yes,yes,yes,no,0

9750,yes,no,no,no,0

9751,yes,yes,yes,no,0

9752,yes,no,yes,no,1

9753,yes,yes,no,no,0

9754,yes,no,no,no,0

9755,yes,no,no,no,0

9756,yes,no,yes,no,0

9757,yes,yes,yes,no,0

9758,yes,yes,no,no,1

9759,yes,no,no,no,0

9760,yes,no,no,no,0

9761,yes,no,no,no,0

9762,yes,no,no,no,0

9763,yes,no,yes,no,0

9764,yes,yes,yes,yes,1

9765,yes,yes,yes,no,0

9766,yes,yes,yes,no,0

9767,yes,no,yes,no,0

9768,yes,no,yes,no,0

9769,yes,no,no,yes,0

9770,yes,no,yes,no,0

9771,yes,no,yes,no,0

9772,yes,no,no,no,0

9773,yes,yes,no,no,0

9774,yes,yes,no,no,0

9775,yes,yes,no,no,0

9776,yes,yes,yes,yes,0

9777,yes,no,no,no,1

9778,no,yes,yes,no,0

9779,yes,yes,no,no,0

9780,yes,no,yes,no,0

9781,yes,yes,no,no,0

9782,yes,yes,no,no,0

9783,yes,no,no,no,0

9784,yes,yes,yes,no,0

9785,no,yes,no,no,0

9786,yes,no,yes,no,0

9787,no,yes,yes,no,0

9788,yes,no,no,no,0

9789,yes,no,no,no,1

9790,yes,yes,no,no,0

9791,yes,yes,no,no,0

9792,no,no,no,yes,1

9793,no,yes,yes,no,0

9794,yes,yes,yes,no,0

9795,yes,yes,no,no,0

9796,yes,yes,yes,no,0

9797,yes,yes,yes,no,0

9798,yes,no,yes,no,0

9799,yes,no,no,no,0

9800,yes,no,yes,no,0

9801,yes,no,yes,no,0

9802,yes,no,no,no,0

9803,yes,yes,yes,no,0

9804,yes,no,no,no,0

9805,yes,yes,no,no,0

9806,yes,yes,no,no,0

9807,yes,no,no,no,0

9808,yes,no,no,no,0

9809,yes,no,yes,no,0

9810,yes,no,yes,no,0

9811,no,no,no,no,0

9812,no,yes,yes,no,0

9813,yes,yes,no,no,0

9814,yes,no,yes,no,1

9815,no,no,no,no,0

9816,no,yes,yes,yes,0

9817,yes,yes,yes,no,0

9818,yes,yes,yes,no,0

9819,yes,no,no,yes,0

9820,no,no,yes,no,0

9821,yes,no,no,yes,0

9822,yes,yes,yes,yes,0

9823,yes,yes,yes,no,0

9824,yes,yes,no,no,0

9825,no,no,no,no,1

9826,yes,yes,yes,no,0

9827,yes,yes,no,no,0

9828,yes,no,no,yes,0

9829,no,yes,no,no,0

9830,yes,no,no,no,0

9831,yes,yes,no,no,0

9832,yes,no,yes,no,0

9833,yes,yes,no,no,0

9834,yes,no,no,no,0

9835,yes,no,yes,no,0

9836,yes,yes,yes,no,0

9837,yes,yes,no,no,0

9838,yes,yes,yes,no,0

9839,yes,yes,yes,no,0

9840,no,no,no,no,0

9841,yes,no,no,no,0

9842,yes,yes,yes,no,0

9843,yes,yes,yes,no,1

9844,yes,yes,yes,yes,0

9845,yes,no,no,no,0

9846,yes,no,no,no,0

9847,yes,no,no,no,0

9848,yes,yes,no,yes,1

9849,yes,no,yes,no,0

9850,no,yes,yes,no,0

9851,yes,no,yes,no,0

9852,yes,yes,no,no,0

9853,yes,no,yes,no,0

9854,yes,no,no,no,0

9855,yes,no,no,no,0

9856,yes,no,no,no,0

9857,yes,no,yes,yes,0

9858,yes,yes,yes,no,0

9859,yes,no,yes,no,1

9860,yes,no,yes,no,0

9861,no,yes,no,no,0

9862,yes,yes,no,no,0

9863,yes,yes,yes,no,0

9864,no,yes,no,no,1

9865,yes,yes,yes,no,0

9866,yes,yes,yes,no,1

9867,no,no,yes,no,0

9868,yes,no,no,yes,0

9869,yes,yes,yes,no,0

9870,yes,yes,yes,no,0

9871,no,yes,yes,no,1

9872,yes,yes,no,no,0

9873,yes,no,no,no,0

9874,no,yes,yes,no,0

9875,yes,no,no,no,0

9876,no,no,no,yes,0

9877,yes,yes,yes,no,0

9878,yes,no,no,no,0

9879,yes,yes,no,no,0

9880,no,yes,yes,no,0

9881,no,no,yes,no,0

9882,yes,no,no,no,0

9883,no,yes,no,no,0

9884,yes,no,yes,no,0

9885,yes,no,no,no,0

9886,no,no,no,no,0

9887,yes,yes,yes,no,0

9888,yes,no,yes,no,0

9889,yes,yes,no,no,0

9890,yes,yes,yes,yes,1

9891,yes,yes,yes,no,0

9892,no,yes,no,no,0

9893,yes,no,yes,no,0

9894,no,no,no,no,0

9895,yes,no,no,no,0

9896,yes,no,no,no,0

9897,no,no,yes,no,0

9898,yes,yes,yes,no,0

9899,yes,no,yes,no,0

9900,yes,yes,yes,no,0

9901,yes,yes,no,yes,1

9902,yes,no,no,no,0

9903,yes,yes,no,no,0

9904,yes,yes,yes,no,0

9905,yes,yes,no,no,0

9906,yes,no,no,no,0

9907,no,yes,yes,no,1

9908,yes,no,no,no,0

9909,yes,yes,no,no,0

9910,yes,no,no,no,0

9911,yes,yes,no,no,0

9912,yes,no,yes,no,0

9913,yes,yes,yes,yes,0

9914,no,yes,yes,no,0

9915,yes,yes,no,no,0

9916,no,yes,yes,yes,0

9917,no,no,yes,no,1

9918,yes,yes,yes,no,0

9919,no,yes,yes,no,1

9920,yes,no,yes,no,0

9921,yes,no,yes,no,0

9922,yes,yes,yes,no,0

9923,yes,no,yes,no,0

9924,yes,yes,no,yes,0

9925,yes,yes,yes,no,0

9926,yes,yes,yes,no,0

9927,yes,no,no,yes,0

9928,yes,no,yes,no,0

9929,yes,no,no,no,0

9930,yes,no,no,no,0

9931,yes,no,no,no,0

9932,yes,no,yes,yes,0

9933,yes,no,no,no,0

9934,yes,no,no,no,0

9935,yes,no,yes,no,0

9936,no,no,yes,no,0

9937,yes,yes,no,yes,0

9938,yes,no,yes,yes,0

9939,yes,yes,yes,no,0

9940,yes,yes,yes,no,1

9941,yes,no,yes,no,0

9942,yes,no,no,no,0

9943,yes,no,yes,yes,0

9944,yes,yes,yes,no,0

9945,yes,yes,no,no,0

9946,yes,yes,yes,no,0

9947,yes,no,yes,yes,0

9948,no,no,yes,no,0

9949,yes,no,yes,no,0

9950,yes,no,no,no,0

9951,yes,no,no,no,0

9952,no,no,no,no,0

9953,yes,yes,no,no,0

9954,yes,yes,yes,yes,1

9955,yes,yes,yes,no,0

9956,yes,no,yes,no,1

9957,yes,no,no,no,1

9958,yes,no,yes,no,0

9959,yes,no,no,no,0

9960,yes,no,yes,no,0

9961,no,yes,no,no,0

9962,yes,no,no,no,0

9963,yes,yes,no,yes,0

9964,yes,yes,yes,yes,0

9965,yes,no,yes,no,0

9966,yes,yes,no,no,0

9967,yes,no,no,no,1

9968,yes,yes,no,no,0

9969,yes,yes,no,no,1

9970,yes,yes,yes,no,0

9971,yes,yes,no,yes,0

9972,yes,yes,yes,no,1

9973,yes,yes,no,no,0

9974,yes,no,yes,no,0

9975,yes,no,no,yes,0

9976,yes,no,no,no,0

9977,yes,yes,yes,no,0

9978,yes,yes,yes,no,1

9979,yes,yes,yes,yes,1

9980,no,yes,yes,no,1

9981,no,no,no,no,0

9982,yes,yes,yes,no,0

9983,no,no,no,yes,0

9984,yes,yes,no,no,1

9985,no,yes,yes,yes,0

9986,yes,no,no,no,0

9987,yes,no,yes,no,0

9988,yes,no,no,no,0

9989,yes,no,no,no,1

9990,yes,yes,no,no,1

9991,yes,no,yes,yes,0

9992,yes,yes,yes,no,1

9993,yes,no,no,no,1

9994,yes,no,yes,no,0

9995,yes,no,yes,no,0

9996,yes,yes,no,no,0

9997,yes,yes,no,no,0

9998,yes,yes,yes,no,0

9999,no,no,no,no,0

10000,yes,yes,yes,no,1

10001,yes,no,no,no,0

10002,yes,no,yes,no,0

10003,yes,no,yes,no,0

10004,no,yes,no,no,0

10005,yes,no,no,no,0

10006,yes,no,no,no,0

10007,yes,no,no,no,0

10008,yes,yes,yes,no,0

10009,yes,yes,no,no,0

10010,yes,no,yes,no,0

10011,yes,yes,yes,no,0

10012,yes,yes,no,no,0

10013,yes,no,no,no,0

10014,yes,yes,no,yes,0

10015,yes,yes,no,no,0

10016,yes,yes,no,no,0

10017,yes,no,yes,no,0

10018,yes,yes,no,no,1

10019,no,no,no,no,0

10020,yes,yes,yes,no,0

10021,yes,no,no,no,0

10022,yes,no,no,no,0

10023,yes,no,yes,no,0

10024,yes,yes,yes,no,0

10025,yes,yes,yes,no,0

10026,yes,no,no,no,0

10027,yes,yes,yes,no,0

10028,no,yes,yes,no,0

10029,yes,no,yes,no,0

10030,yes,no,no,no,0

10031,yes,yes,no,no,0

10032,yes,no,yes,no,0

10033,yes,no,yes,no,0

10034,yes,no,yes,no,0

10035,yes,yes,yes,no,0

10036,yes,no,no,yes,0

10037,no,yes,no,no,0

10038,no,yes,yes,no,0

10039,yes,yes,no,no,0

10040,yes,yes,yes,no,0

10041,yes,no,no,no,0

10042,yes,yes,no,no,0

10043,no,yes,yes,no,1

10044,yes,yes,no,no,0

10045,yes,no,no,no,0

10046,no,no,no,yes,0

10047,yes,no,yes,no,0

10048,no,no,no,no,1

10049,yes,no,yes,no,0

10050,yes,no,yes,yes,0

10051,no,no,yes,no,1

10052,yes,no,yes,yes,0

10053,no,no,no,yes,0

10054,yes,no,yes,no,0

10055,yes,no,no,yes,0

10056,yes,no,no,no,1

10057,yes,no,yes,no,0

10058,yes,yes,yes,no,0

10059,no,yes,no,no,0

10060,yes,yes,yes,no,0

10061,yes,no,no,yes,0

10062,yes,yes,yes,no,0

10063,no,no,yes,no,0

10064,yes,yes,no,no,0

10065,yes,no,yes,no,0

10066,yes,no,no,no,1

10067,yes,no,no,no,0

10068,yes,no,no,no,0

10069,no,no,yes,no,0

10070,yes,yes,no,no,0

10071,yes,yes,yes,no,0

10072,yes,yes,no,no,0

10073,yes,yes,no,no,1

10074,no,yes,yes,yes,0

10075,yes,no,no,no,0

10076,yes,yes,no,no,0

10077,yes,yes,no,yes,0

10078,yes,no,yes,no,0

10079,yes,no,yes,no,0

10080,yes,no,no,no,0

10081,yes,no,no,yes,0

10082,yes,yes,yes,no,0

10083,yes,no,no,yes,0

10084,no,no,no,no,0

10085,yes,no,yes,no,0

10086,yes,no,yes,no,0

10087,yes,yes,yes,no,0

10088,yes,no,no,no,1

10089,yes,no,yes,no,0

10090,yes,no,yes,no,0

10091,yes,no,yes,no,0

10092,yes,no,no,no,0

10093,no,yes,no,no,0

10094,yes,yes,no,no,0

10095,yes,no,yes,no,0

10096,no,no,no,no,1

10097,yes,no,yes,no,0

10098,yes,yes,no,no,0

10099,yes,yes,no,no,0

10100,no,no,yes,no,1

10101,yes,no,no,no,0

10102,yes,yes,no,yes,0

10103,yes,yes,no,no,0

10104,yes,no,yes,no,0

10105,yes,no,no,no,0

10106,yes,yes,yes,no,0

10107,yes,no,yes,no,0

10108,yes,no,no,no,0

10109,yes,yes,no,no,0

10110,no,yes,no,no,0

10111,yes,no,yes,no,0

10112,yes,no,yes,no,0

10113,yes,no,yes,no,0

10114,no,no,no,no,0

10115,yes,yes,no,no,0

10116,yes,no,no,no,0

10117,yes,yes,yes,yes,0

10118,yes,no,no,no,0

10119,yes,yes,no,no,0

10120,yes,yes,no,no,0

10121,no,yes,yes,no,1

10122,yes,yes,yes,no,0

10123,yes,no,no,yes,0

10124,yes,yes,yes,no,0

10125,yes,yes,no,no,0

10126,yes,yes,no,no,0

10127,yes,yes,yes,no,0

10128,yes,no,yes,no,0

10129,no,no,no,no,1

10130,yes,yes,yes,no,0

10131,no,yes,yes,yes,0

10132,yes,no,no,no,1

10133,yes,no,no,yes,0

10134,yes,no,yes,no,0

10135,yes,yes,yes,no,0

10136,no,yes,no,no,0

10137,yes,no,no,no,0

10138,no,yes,yes,no,1

10139,yes,no,yes,yes,0

10140,yes,yes,yes,no,0

10141,yes,no,yes,no,0

10142,yes,no,yes,no,0

10143,yes,yes,no,no,0

10144,yes,no,yes,no,0

10145,yes,no,yes,no,0

10146,yes,no,no,no,0

10147,yes,no,yes,no,0

10148,yes,no,yes,yes,0

10149,yes,no,yes,yes,0

10150,yes,yes,yes,no,0

10151,yes,no,yes,no,0

10152,yes,no,no,no,0

10153,no,yes,yes,no,0

10154,no,no,no,yes,1

10155,yes,yes,yes,no,1

10156,yes,yes,yes,yes,0

10157,no,yes,no,no,0

10158,yes,no,yes,no,0

